Start,End,weight
Ts,In1,100
In1,Sd,120
In1,Au,50
In1,S2,100
In1,In2,20
In2,In4,100
In2,In3,90
In3,ML1,35
In3,ML3,80
In4,S2,30
In4,ML1,35
In4,In3,60
In5,ML1,60
In5,ML2,35
ML2,W2,15
In6,W2,20
In6,W1,15
In6,In8,35
In7,W1,15
In7,Au,120
In8,S1,65
In8,In9,30
In8,In10,100
In9,C3,64
In10,C3,30
In10,C1,20
In10,C2,20
In10,N,40
C1,C2,30
N,A,30
In11,A,30
In11,C2,25
In11,In12,45
In12,J,25
In12,H,25
J,M,10
M,H,25
S1,V,40
S1,R,40
S1,S,20
S,V,25
S,R,40
S,U,10
S,T,20
U,R,20
U,T,20
U,Tx,40
Tx,X,50
Tx,T,40
T,K,35
K,P1,45
C3,O,40
O,Q,65
O,N,50
Q,A,40
Q,In14,40
In14,Ip,15
Ip,A,30
W1,LL1,45
LL1,LL2,45
LL1,C1,60
LL2,C2,55
LL2,B,80
B,C2,80
B,In15,45
B,Gb,25
In15,H,20
Mj,Au,55
Mj,ÑL,60
Mj,Rga,30
Rga,Rgb,55
Rgb,Rgc,15
In13,Gb,25
Rga,In13,35
In13,G,30
G,Ñf,45
Ñf,Ña,5
Ñf,Cj,5
Cj,Ña,5
Cj,E,10
Cj,Ñn,25
Pu,Ñg,20
Ñn,Pu,45
In3,In7,50
P1,In16,12
In16,In17,20
In17,In18,10
In18,In19,19
In19,In20,55
In20,Ga,12
ML3,In7,55
